
Rk,Date,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen,Temp,WindDir,WindSpd,Prec,Sky
116,2015-09-26,OAK,SFG,L 10-14,46,38,10,11,4,0,1,10,6,0,4,2,0,0,1,1,0,0,0.659,5.621,1.043,9,11,36067,212,70,torf,7,,cloudy
117,2015-09-26,SDP,ARI,W 3-0,34,29,3,7,3,0,0,3,2,0,8,1,0,2,0,0,0,0,-0.064,-0.455,.940,7,12,32186,176,82,torf,7,,sunny
118,2015-09-26,STL,MIL,W 5-1,35,30,5,8,4,0,0,5,5,0,5,0,0,0,1,3,0,0,0.293,1.215,.371,6,13,45561,155,72,fromcf,6,,
119,2015-09-26,TOR,TBR,W 10-8,42,35,10,12,4,0,3,10,6,0,7,0,0,1,0,0,1,0,0.581,6.143,.497,8,11,47094,197,65,rtol,17,,sunny
120,2015-09-25,LAA,SEA,W 8-4,39,37,8,14,6,1,2,8,1,0,7,1,0,0,0,1,0,0,0.402,4.340,.587,7,14,38355,189,83,tocf,4,,sunny
121,2015-09-25,BOS,BAL,W 7-0,35,31,7,9,5,0,0,6,3,0,10,0,1,0,0,0,0,0,0.115,2.873,.609,4,10,32411,162,63,fromrf,9,,
122,2015-09-25,CHC,PIT,L 2-3,36,33,2,7,1,1,0,2,3,0,12,0,0,0,0,0,0,1,-0.475,-2.179,1.689,7,19,40432,181,68,fromcf,12,,cloudy
123,2015-09-25,CIN,NYM,L 5-12,39,38,5,11,1,0,2,5,1,0,14,0,0,0,0,0,0,0,-0.241,0.824,.378,7,16,26780,195,70,fromcf,6,,
124,2015-09-25,COL,LAD,W 7-4,37,34,7,9,1,1,3,6,3,0,9,0,0,0,2,0,0,0,0.312,2.616,.673,6,17,38485,192,79,rtol,6,,sunny
125,2015-09-25,DET,MIN,W 6-4,37,35,6,13,4,0,1,6,2,0,12,0,0,0,0,0,0,1,0.465,2.188,1.401,7,11,31153,196,75,fromlf,11,,
Rk,Date,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen,Temp,WindDir,WindSpd,Prec,Sky
126,2015-09-25,MIA,ATL,W 12-11,41,39,12,20,4,2,1,11,2,0,2,0,0,0,0,3,1,1,0.640,8.359,.671,5,17,24626,199,76,,0,none,dome
127,2015-09-25,HOU,TEX,L 2-6,40,38,2,11,3,1,1,2,2,0,10,0,0,0,0,0,1,0,-0.251,-2.381,.785,11,13,35180,229,73,,0,none,dome
128,2015-09-25,KCR,CLE,L 0-6,29,27,0,1,0,0,0,0,2,0,15,0,0,0,0,1,0,0,-0.343,-4.509,.630,2,9,37049,163,79,fromrf,5,,sunny
129,2015-09-25,NYY,CHW,L 2-5,37,29,2,6,1,0,0,2,6,0,5,2,0,0,0,4,0,0,-0.295,-2.289,1.456,8,10,37316,190,69,fromcf,5,,
130,2015-09-25,OAK,SFG,W 5-4,35,33,5,9,2,1,2,5,2,0,4,0,0,0,0,0,0,0,0.232,1.105,.890,6,9,36067,169,70,torf,10,,cloudy
131,2015-09-25,SDP,ARI,L 3-6,36,33,3,6,1,0,0,3,3,0,7,0,0,0,0,0,1,0,-0.176,-0.887,.539,6,19,24179,177,82,ltor,10,,sunny
132,2015-09-25,STL,MIL,L 3-4,37,31,3,9,2,0,0,3,2,0,13,0,3,1,1,0,1,2,-0.271,-1.257,1.668,7,23,45057,199,81,fromcf,9,,sunny
133,2015-09-25,TOR,TBR,W 5-3,40,31,5,10,3,1,3,5,6,0,7,0,3,0,0,0,2,0,0.242,1.143,.815,11,10,47696,164,65,fromrf,11,,sunny
134,2015-09-25,WSN,PHI,L 2-8,35,34,2,7,1,0,1,2,1,0,11,0,0,0,1,1,0,0,-0.143,-2.349,.550,6,14,31019,150,70,fromrf,9,,overcast
135,2015-09-24,BOS,TBR,L 2-4,31,30,2,5,0,0,1,2,1,0,7,0,0,0,0,2,0,0,-0.350,-2.642,.965,2,10,34916,159,63,fromrf,6,,cloudy
136,2015-09-24,CIN,NYM,L 4-6,38,37,4,11,1,0,1,4,1,0,10,0,0,0,0,1,0,0,-0.054,-0.177,1.294,7,17,18881,184,79,,5,,sunny
137,2015-09-24,COL,PIT,L 4-5,39,36,4,8,2,1,0,4,3,2,9,0,0,0,2,0,2,1,-0.222,-0.936,1.170,8,15,25164,178,79,tocf,5,,sunny
138,2015-09-24,MIA,PHI,W 1-0,30,27,1,4,0,1,0,1,1,0,5,1,1,0,1,0,1,0,-0.193,-2.642,1.120,5,16,17083,154,74,,0,none,dome
139,2015-09-24,KCR,SEA,W 10-4,44,38,10,15,4,1,2,9,5,1,9,1,0,0,1,0,0,0,0.427,5.993,.884,10,10,32244,203,78,rtol,6,,cloudy
140,2015-09-24,LAD,ARI,W 6-3,40,33,6,9,2,0,1,6,6,0,6,1,0,0,1,1,0,0,0.487,2.437,1.069,10,22,38234,201,88,torf,4,,sunny
